ZONE_TYPE,ZONE_CLASS,EDIT_STATU,EDIT_DATE,PD_PREFIX,PD_NUM,ORDINANCE_,ORDINANCE1
5,PD 715,ACTIVE,,R,715,,
1,B1-2,ACTIVE,,,0,,
5,PD 692,ACTIVE,,WR,692,,
5,PD 701,ACTIVE,,RB,701,,
5,PD 230,ACTIVE,,B,230,,
5,PD 369,ACTIVE,,B,369,,
5,PD 406,ACTIVE,,CAP,406,,
5,PD 319,ACTIVE,,B,319,,
5,PD 429,ACTIVE,,B,429,,
4,RT-4,ACTIVE,,,0,,
5,PD 793,ACTIVE,,RB,793,,
2,C2-3,ACTIVE,,,0,,
5,PD 113,ACTIVE,,RB,113,,
1,B1-1,ACTIVE,,,0,,
2,C2-2,ACTIVE,,,0,,
3,M2-3,ACTIVE,,,0,,
5,PD 416,ACTIVE,,I,416,,
4,RM-5,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
5,PD 629,ACTIVE,,R,629,,
5,PD 656,ACTIVE,,R,656,,
4,RM-5,ACTIVE,,,0,,
2,C2-2,ACTIVE,,,0,,
5,PD 267,ACTIVE,,I,267,,
5,PD 310,ACTIVE,,B,310,,
5,PD 268,ACTIVE,,B,268,,
5,PD 176,ACTIVE,,B,176,,
5,PD 689,ACTIVE,,PD,689,,
1,B3-1,ACTIVE,,,0,,
5,PD 256,ACTIVE,,B,256,,
5,PD 579,ACTIVE,01/23/03,B,579,13515,
5,PD 448,ACTIVE,,CAP,448,,
5,PD 607,ACTIVE,,CAP,607,,
5,PD 312,ACTIVE,,I,312,,
5,PD 219,ACTIVE,,PD,219,,
2,C2-3,ACTIVE,,,0,,
5,PD 366,ACTIVE,,CAP,366,,
5,PD 293,ACTIVE,,CAP,293,,
1,B3-2,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
1,B3-3,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
1,B1-2,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
1,B1-1,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
3,M1-3,ACTIVE,,,0,,
3,M1-3,ACTIVE,,,0,,
5,PD 374,ACTIVE,,I,374,,
3,M1-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
5,PD 698,ACTIVE,,RB,698,,
5,PD 206,ACTIVE,,RB,206,,
1,B3-3,ACTIVE,,,0,,
5,PD 168,ACTIVE,,R,168,,
1,B3-5,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
1,B3-3,ACTIVE,,,0,,
2,C1-3,ACTIVE,,,0,,
2,C2-3,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
2,C1-3,ACTIVE,,,0,,
5,PD 395,ACTIVE,,RI,395,,
1,B3-2,ACTIVE,,,0,,
5,PD 143,ACTIVE,,R,143,,
